model,threshold,roc_auc,pr_auc,precision,recall,f1,brier,log_loss,alert_rate,fraud_amount_recall,true_negative,false_positive,false_negative,true_positive
LightGBM,0.5,0.9973359398266124,0.8954524971639761,0.9426356589147287,0.7212336892052195,0.8172043010752689,0.0017066741728083222,0.007091870734202216,0.005034028471528472,0.78739044001073,127248,37,235,608
Logistic Regression,0.5,0.8677982564136831,0.1250645159028418,0.042074212078869744,0.6429418742586003,0.0789799635701275,0.06915803685352644,0.23747424461451355,0.10054008491508491,0.8589087434998759,114945,12340,301,542
Dummy,0.5,0.5,0.006579358141858142,0.0,0.0,0.0,0.006536532756762005,0.03964917806796323,0.0,0.0,127285,0,843,0
