scenario,threshold,alerts,alert_rate,precision,recall,f1,fraud_amount_recall,missed_fraud_cost,residual_detected_fraud_cost,review_cost,friction_cost,total_proxy_cost
base,0.092,1069,0.00834321928071928,0.715622076707203,0.9074733096085409,0.8002092050209205,0.9568653471120332,10616.255,33877.466250000005,2138.0,3040.0,49671.72125
high_friction,0.10200000000000001,971,0.007578359140859141,0.7744593202883625,0.8920521945432978,0.8291069459757442,0.9460746181206541,13206.929999999997,33488.865,2913.0,6570.0,56178.795
high_loss,0.016,1837,0.014337225274725274,0.43984757757212845,0.9584816132858838,0.6029850746268657,0.9859217422790603,7120.7,23290.56800000002,5511.0,10290.0,46212.268000000025
low,0.051000000000000004,1375,0.010731456043956044,0.5738181818181818,0.9359430604982206,0.7114517583408476,0.9729496036218488,3354.232499999999,34463.634750000005,1375.0,1758.0,40950.86725
