model,threshold,roc_auc,pr_auc,precision,recall,f1,brier,log_loss,alert_rate,fraud_amount_recall,true_negative,false_positive,false_negative,true_positive
Unweighted LightGBM,0.5,0.9980606657396504,0.9285856407042714,0.978125,0.7425860023724793,0.8442346594740391,0.0015207037828565953,0.006812056854768426,0.004995004995004995,0.8098884198255863,127271,14,217,626
Undersampled LightGBM,0.5,0.9984244825468258,0.9231410118040965,0.6440397350993378,0.9228944246737841,0.7586543149683082,0.0030104386151465776,0.010969577805856187,0.009428071928071928,0.977958658550581,126855,430,65,778
Weighted LightGBM,0.5,0.995793208569648,0.9059614490491927,0.8391356542617047,0.8291814946619217,0.834128878281623,0.0016793335769765031,0.0068770146566155535,0.006501311188811189,0.8863779333467611,127151,134,144,699
