split,rows,row_share_of_full_data,frauds,fraud_rate,start_time,end_time,unique_cards,unique_merchants,total_amount,fraud_amount
train,777050,0.5992635008772437,4584,0.0058992342835081394,2019-01-01 00:00:18,2019-11-29 07:35:17,952,693,54592213.550000034,2409449.72
calibration,192249,0.14826305743536353,919,0.00478025893502697,2019-11-30 07:37:20,2020-01-28 03:04:27,918,693,13509809.389999999,508991.34
validation,128128,0.09881273256598608,843,0.006579358141858142,2020-01-29 03:06:41,2020-04-03 05:52:32,914,693,9077332.850000001,456072.05999999994
test,193574,0.1492849017679835,1126,0.005816896897310589,2020-04-04 05:55:26,2020-06-21 12:13:37,923,693,13642501.29,598973.47
