policy,alerts,alert_rate,precision,recall,f1,fraud_amount_recall,true_negative,false_positive,false_negative,true_positive,missed_fraud_cost,residual_detected_fraud_cost,review_cost,friction_cost,total_proxy_cost,proxy_cost_reduction_vs_no_alert,proxy_cost_reduction_pct_vs_no_alert
Positive expected benefit,1006,0.007851523476523476,0.7375745526838966,0.8801897983392646,0.8025959978366685,0.9691021414466829,127021,264,101,742,8055.825000000001,34261.530750000005,2012.0,2640.0,46969.35575,189496.67424999998,80.13695423820496
Base cost-minimizing threshold,1069,0.00834321928071928,0.715622076707203,0.9074733096085409,0.8002092050209205,0.9568653471120332,126981,304,78,765,10616.255,33877.466250000005,2138.0,3040.0,49671.72125,186794.30874999997,78.9941408286002
Threshold 0.5,739,0.00576766983016983,0.93234100135318,0.8173190984578885,0.8710493046776233,0.8818497234844863,127235,50,154,689,28482.519999999997,31197.526500000007,1478.0,500.0,61658.046500000004,174807.98349999997,73.92519910788032
F1-maximizing threshold,721,0.005627185314685315,0.9459084604715673,0.8090154211150652,0.8721227621483376,0.8779679027037965,127246,39,161,682,29437.714999999997,31054.247250000004,1442.0,390.0,62323.96225,174142.06775,73.64358751656633
