model,threshold,roc_auc,pr_auc,precision,recall,f1,brier,log_loss,alert_rate,fraud_amount_recall,true_negative,false_positive,false_negative,true_positive
LightGBM - current + past-only,0.5,0.9980606657396504,0.9285856407042714,0.978125,0.7425860023724793,0.8442346594740391,0.001520703782856595,0.006812056854768433,0.004995004995004995,0.8098884198255863,127271,14,217,626
LightGBM - current only,0.5,0.9973359398266124,0.8954524971639761,0.9426356589147287,0.7212336892052195,0.8172043010752689,0.0017066741728083222,0.007091870734202216,0.005034028471528472,0.78739044001073,127248,37,235,608
