method,pr_auc,roc_auc,brier,log_loss,ece_10_quantile_bins,mean_probability,observed_fraud_rate,calibration_intercept,calibration_slope
Isotonic,0.9224556618901987,0.9975339011645299,0.0013099933872250523,0.005460212174126719,0.00038975362054981266,0.006189604521308329,0.006579358141858142,0.224226373296006,0.9500030634739166
Platt,0.9285856407042714,0.9980606657396504,0.0013174525103425178,0.0054571935590784345,0.00046064791491461494,0.006199137553642846,0.006579358141858142,0.3624501771767736,1.0044568393984457
Raw,0.9285856407042714,0.9980606657396504,0.001520703782856595,0.006812056854768432,0.0014722528558838797,0.005123718854188338,0.006579358141858142,1.7994855418135745,1.0080748254787093
