policy,total_alerts,avg_alerts_per_day,median_alerts_per_day,max_alerts_per_day,precision,recall,f1,fraud_amount_recall,missed_fraud_cost,residual_detected_fraud_cost,review_cost,friction_cost,total_proxy_cost,ranking_method,capacity_k,proxy_cost_reduction_vs_no_alert,proxy_cost_reduction_pct_vs_no_alert
Probability Top-5,325,5.0,5.0,5,0.8676923076923077,0.33451957295373663,0.4828767123287671,0.3161851221493375,161544.43,11238.24,650.0,430.0,173862.66999999998,Probability,5,62603.359999999986,26.474568038377434
Benefit Top-5,313,4.815384615384615,5.0,5,0.8562300319488818,0.31791221826809013,0.46366782006920415,0.5077986798840517,117989.63500000001,17771.45925,626.0,450.0,136837.09425000002,Expected benefit,5,99628.93574999995,42.13245164643732
Probability Top-10,650,10.0,10.0,10,0.7384615384615385,0.5693950177935944,0.6430006697923644,0.5970540269447772,95516.20000000001,21142.4745,1300.0,1700.0,119658.67450000001,Probability,10,116807.35549999996,49.39709754504695
Benefit Top-10,565,8.692307692307692,10.0,10,0.8,0.5361803084223014,0.6420454545454546,0.7544994315152742,59892.975,26485.958250000003,1130.0,1130.0,88638.93325,Expected benefit,10,147827.09674999997,62.5151514363395
Probability Top-25,1625,25.0,25.0,25,0.456,0.8790035587188612,0.600486223662885,0.9308064387895196,16798.625,32950.11075000001,3250.0,8840.0,61838.73575000001,Probability,25,174627.29424999998,73.84878675808106
Benefit Top-25,942,14.492307692307692,15.0,25,0.7409766454352441,0.8279952550415184,0.7820728291316527,0.9472967934058492,13468.23,33449.670000000006,1884.0,2440.0,51241.90000000001,Expected benefit,25,185224.12999999995,78.33012208984097
Probability Top-50,3250,50.0,50.0,50,0.2516923076923077,0.970344009489917,0.3997068165160029,0.9904886302397039,2418.935,35107.06425,6500.0,24320.0,68345.99925,Probability,50,168120.03074999998,71.09690586423767
Benefit Top-50,1006,15.476923076923077,15.0,42,0.7375745526838966,0.8801897983392646,0.8025959978366685,0.9691021414466829,8055.825000000001,34261.530750000005,2012.0,2640.0,46969.35575,Expected benefit,50,189496.67424999998,80.13695423820496
